X (RT/min),Y (Intensity)
22.0,24483.550114766218
22.01,24483.550114766218
22.02,24483.550114766218
22.03,24483.550114766218
22.04,24483.550114766218
22.05,48967.100229532436
22.07,61208.87528691732
22.08,85692.42540168353
22.09,97934.20045906665
22.1,122417.75057383286
22.11,195868.4009181333
22.12,428462.12700841593
22.13,440703.902065799
22.14,440703.902065799
22.15,440703.902065799
22.17,440703.902065799
22.18,440703.902065799
22.19,428462.12700841593
22.2,403978.5768936497
22.21,293802.6013771999
22.22,159143.07574598395
22.23,85692.42540168353
22.24,61208.87528691732
22.26,48967.100229532436
22.27,36725.32517214933
22.28,48967.100229532436
22.29,48967.100229532436
22.3,48967.100229532436
22.31,48967.100229532436
22.32,48967.100229532436
22.33,36725.32517214933
22.35,36725.32517214933
22.36,36725.32517214933
22.37,36725.32517214933
22.38,36725.32517214933
22.39,48967.100229532436
22.4,61208.87528691732
22.41,85692.42540168353
22.42,171384.85080336707
22.44,1689364.9579188975
22.45,3256312.165263964
22.46,4700841.622035195
22.47,6145371.078806427
22.48,7381790.359602142
22.49,7418515.684774292
22.5,7430757.459831675
22.51,7430757.459831675
22.53,7430757.459831675
22.54,7430757.459831675
22.55,7418515.684774292
22.56,7357306.809487376
22.57,6659525.631216527
22.58,5166029.07421576
22.59,3244070.3902065805
22.6,1077276.2050497332
22.62,355011.4766641155
22.63,159143.07574598395
22.64,97934.20045906665
22.65,73450.65034430043
22.66,48967.100229532436
22.67,48967.100229532436
22.68,48967.100229532436
22.69,36725.32517214933
22.7,36725.32517214933
22.72,36725.32517214933
22.73,24483.550114766218
22.74,24483.550114766218
22.75,24483.550114766218
22.76,24483.550114766218
22.77,12241.775057383109
22.78,24483.550114766218
22.79,24483.550114766218
22.81,24483.550114766218
22.82,24483.550114766218
22.83,24483.550114766218
22.84,24483.550114766218
22.85,24483.550114766218
22.86,24483.550114766218
22.87,24483.550114766218
22.88,24483.550114766218
22.9,24483.550114766218
22.91,24483.550114766218
22.92,24483.550114766218
22.93,24483.550114766218
22.94,24483.550114766218
22.95,24483.550114766218
22.96,24483.550114766218
22.97,24483.550114766218
22.99,24483.550114766218
23.0,24483.550114766218
23.01,24483.550114766218
23.02,36725.32517214933
23.03,36725.32517214933
23.04,24483.550114766218
23.05,24483.550114766218
23.06,48967.100229532436
23.08,73450.65034430043
23.09,85692.42540168353
23.1,85692.42540168353
23.11,85692.42540168353
23.12,85692.42540168353
23.13,73450.65034430043
23.14,73450.65034430043
23.15,48967.100229532436
23.16,36725.32517214933
23.18,24483.550114766218
23.19,24483.550114766218
23.2,24483.550114766218
23.21,12241.775057383109
23.22,12241.775057383109
23.23,12241.775057383109
23.24,24483.550114766218
23.25,36725.32517214933
23.27,73450.65034430043
23.28,146901.3006885991
